"cov","dr","ds","t","lspos","text"
"NN",  174.2,2126,"Nt","A","L"
"CO",  798.6,2727,"Nt","A","L"
"CO", 1086.1,1754,"Nt","A","L'"
"NN",  133.6,1013,"Nt","A","L'"
"NN",  818.9,1031,"Nt","A","L'"
"CO", 1460.7,1086,"Nt","A","L"
"CO", 1576.9, 865,"Nt","A","L"
"NN", 1454.9,1112,"CA","B","L'"
"CO", 1071.6,1333,"CA","A","L'"
"OO",  752.1,1969,"CA","B","L"
"CO",   55.2,1957,"Nt","B","L"
"CN",  868.3, 999,"Nt","B","L"
"CC", 1701.7, 276,"Nt","B","L"
"CC", 1176.1,1144,"Nt","B","L"
"NN",  217.8, 485,"Nt","B","L"
"CC",  667.9, 616,"Nt","B","L"
"CO",  156.8,1098,"Nt","B","L"
"CN",   14.5, 287,"Nt","B","L"
"CO",  374.6,1054,"Nt","B","L"
"CC",   34.8, 253,"Nt","B","L"
"CO",  290.4, 958,"Nt","B","L"
"CN",  421.1, 848,"Nt","B","L"
"CN",   55.2, 656,"Nt","B","L"
"CC",  203.3, 395,"Nt","A","L'"
"CN",  604.0,1368,"Nt","B","L"
"CN",  148.1,1719,"Nt","A","L'"
"NN", 1086.1,1832,"Nt","A","L'"
"NO", 1129.7,2222,"Nt","B","L"
"CN",  609.8,1679,"Nt","B","L"
"CN",  153.9, 720,"Nt","A","LC"
"CC",   40.7, 415,"Nt","C","LC"
"CN",  252.6,1388,"Nt","C","LC"
"CN",  551.8,1077,"Nt","C","LC"
"CN",  374.6,1141,"Nt","C","LC"
"CC", 1074.5,1591,"Nt","C","LC"
"CC",  217.8, 729,"Nt","C","LC"
"CC",  726.0, 793,"Nt","C","LC"
"OO",  949.6,1557,"Nt","A","L'"
"CO",    0.0,1557,"Nt","A","L'"
"CN",  839.3,1998,"Nt","A","L"
"CO",  699.9,2355,"Nt","A","L'"
"CO",  243.9,1972,"Nt","A","L'"
"CN", 1211.0,1989,"Nt","A","L'"
"CC", 1823.7, 227,"CA","B","L'"
"CO", 1016.4, 778,"CA","B","L"
"CN",  217.8, 996,"Nt","B","L"
"CO",  609.8,1664,"Nt","B","L"
"CC", 1402.6,1191,"Nt","B","L"
"CN", 1582.7, 755,"Nt","B","L"
"CN",  940.9,1336,"Nt","B","L"
"CC",   40.7, 389,"Nt","B","L"
"NC",  778.3, 723,"Nt","B","L"
"CN",  618.6,1376,"Nt","B","L"
"CN",  252.6,1260,"Nt","B","L"
"CC",  964.1,1615,"Nt","B","L"
"CO",  145.2,1225,"Nt","B","L"
"NC",  159.7, 897,"Nt","B","L"
"CO",  740.5, 569,"Nt","B","L"
"CC", 1022.2,1101,"Nt","B","L"
"CN",  499.5, 996,"Nt","B","L"
"CC",  444.3, 543,"Nt","A","L'"
"CN",  505.3, 921,"Nt","B","L"
"CN", 1463.6,1249,"Nt","A","L'"
"CO", 1658.2,1580,"Nt","B","L"
"NN",  699.9,1385,"Nt","B","L"
"NN",  238.1,1432,"Nt","A","LC"
"CN",  795.7,1310,"Nt","C","LC"
"CO",  630.2,1388,"Nt","C","LC"
"CO",  156.8, 430,"Nt","C","LC"
"CN",   78.4, 590,"Nt","C","LC"
"CC",  464.6, 889,"Nt","C","LC"
"CC",  174.2, 752,"Nt","C","LC"
"CN", 1132.6,1542,"Nt","C","LC"
"CN",  624.4, 636,"Nt","C","LC"
"CO",  325.2, 636,"Nt","A","L'"
"NO", 1272.0,1609,"Nt","A","L'"
"CC",  307.8,2582,"Nt","A","L'"
"CC",  636.0,2945,"Nt","A","L'"
"CN", 1417.2,2962,"Nt","A","L'"
"NO", 1643.7,3017,"Nt","A","L'"
"CC", 1858.6,1542,"CA","B","L'"
"CO", 1274.9, 996,"CA","B","L"
"CO",  476.3, 671,"Nt","B","L"
"CN",  101.6, 395,"Nt","B","L"
"CN",  426.9,1368,"Nt","B","L"
"CO",  818.9,1780,"Nt","B","L"
"NN",  848.0,1728,"Nt","B","L"
"CO",  325.2,1112,"Nt","B","L"
"CC",  232.3,1159,"Nt","B","L"
"CO", 1147.1,1159,"Nt","B","L"
"CN",  174.2, 404,"Nt","B","L"
"CC",  723.1,1086,"Nt","B","L"
"CO", 1501.4,2059,"Nt","B","L"
"CO",  853.8,1591,"Nt","B","L"
"NN",   98.7, 729,"Nt","B","L"
"CC", 1071.6, 613,"Nt","B","L"
"NC", 1443.3,1437,"Nt","B","L"
"CO",  485.0, 499,"Nt","B","L"
"CN",   78.4, 616,"Nt","A","L'"
"CO",  217.8, 950,"Nt","B","L"
"CN",  601.1, 276,"Nt","B","L"
"CN", 1010.6, 999,"Nt","B","L"
"CN",  296.2, 412,"Nt","B","L"
"CO",  638.9, 938,"Nt","B","L"
"CN", 1437.5,1597,"Nt","A","LC"
"NO",  670.8,1406,"Nt","C","LC"
"OO",  238.1,1194,"Nt","C","LC"
"CN",  798.6,1257,"Nt","C","LC"
"CN",  400.8, 706,"Nt","C","LC"
"CO",   14.5, 357,"Nt","C","LC"
"CO",  293.3,1330,"Nt","C","LC"
"CN",  246.8, 772,"Nt","C","LC"
"CO",  688.2, 772,"Nt","A","L'"
"NO",  879.9,1600,"Nt","A","L'"
"CC",   81.3,1780,"Nt","A","L'"
"CO", 1025.1,2268,"Nt","A","L'"
"NN",  444.3,3241,"Nt","A","L'"
"CC",  914.8,3990,"Nt","A","L'"
"CC",  900.2,1461,"CA","B","L"
"CC",  743.4,1954,"Nt","B","L"
"CC",   61.0,1324,"Nt","B","L"
"CO",  874.1,1214,"Nt","B","L"
"CC",   58.1, 926,"Nt","B","L"
"CC",  322.3, 822,"Nt","B","L"
"OO",  630.2,1400,"Nt","B","L"
"CO",  429.8, 427,"Nt","B","L"
"CC",  485.0, 543,"Nt","B","L"
"CN",  842.2,1228,"Nt","B","L"
"ON",  122.0, 578,"Nt","B","L"
"CC", 1080.3,1156,"Nt","B","L"
"NO",  714.4,2129,"Nt","B","L"
"CO",  531.4,1522,"Nt","B","L"
"OO",  406.6, 563,"Nt","B","L"
"CC", 1379.4, 723,"Nt","B","L"
"CN", 1161.6,1225,"Nt","B","L"
"CN",  203.3, 607,"Nt","B","L"
"NO",  656.3, 953,"Nt","A","L'"
"CO",  714.4,1316,"Nt","A","L'"
"CN",  322.3, 741,"Nt","B","L"
"CN",  421.1,1153,"Nt","B","L"
"CN",   95.8, 674,"Nt","B","L"
"CN",  862.5,1031,"Nt","B","L"
"CC", 1248.7, 865,"Nt","B","L"
"CO",  278.8, 447,"Nt","C","LC"
"CN",  641.8,1345,"Nt","C","LC"
"NN", 1147.1,1737,"Nt","C","LC"
"NN",  331.1,1350,"Nt","C","LC"
"CN",  595.3,1211,"Nt","C","LC"
"CO",  560.5,1411,"Nt","C","LC"
"CN",   40.7, 439,"Nt","C","LC"
"CN",  130.7, 555,"Nt","C","LC"
"OO",  458.8, 642,"Nt","A","L'"
"CN",  467.5, 926,"Nt","A","L'"
"CO",  691.2,1885,"Nt","A","L'"
"CN",  101.6,2858,"Nt","A","L'"
"CC",  972.8,3830,"Nt","A","L'"
"CC",  345.6, 343,"Nt","B","L"
"CC",   61.0, 793,"Nt","B","L"
"CO",   14.5,1766,"Nt","B","L"
"CC",  604.0,2297,"Nt","B","L"
"NN", 1219.7,1699,"Nt","B","L"
"CC",  490.8, 726,"Nt","B","L"
"CO",  174.2, 465,"Nt","B","L"
"CN",  450.1,1437,"Nt","B","L"
"CN",   49.4,1156,"Nt","B","L"
"NN",  519.8,1202,"Nt","B","L"
"CN",  534.3,1542,"Nt","B","L"
"CN",  426.9,1551,"Nt","B","L"
"CN", 1385.2,1911,"Nt","B","L"
"CC",  720.2,2489,"Nt","B","L"
"CN",  421.1,1516,"Nt","B","L"
"NN",  363.0, 601,"Nt","B","L"
"CN",  595.3, 775,"Nt","B","L"
"NO",  853.8,1138,"Nt","B","L"
"CO",   92.9, 389,"Nt","B","L"
"CC", 1065.8,1095,"Nt","B","L"
"CC", 1071.6,1167,"Nt","B","L"
"CO",  116.2, 279,"Nt","B","L"
"NO",  821.8, 950,"Nt","B","L"
"NN",  467.5, 569,"Nt","B","L"
"CN",  450.1, 482,"Nt","B","L"
"NN", 1013.5, 976,"Nt","B","L"
"CO",   40.7, 723,"Nt","C","LC"
"CN",  185.9,1455,"Nt","C","LC"
"CN",  183.0, 903,"Nt","C","LC"
"CN",   34.8, 584,"Nt","C","LC"
"NN",  969.9,1411,"Nt","C","LC"
"NN",  516.9,1800,"Nt","C","LC"
"NO",  421.1,1185,"Nt","C","LC"
"CC",  755.0,1231,"Nt","C","LC"
"CN",  394.9, 540,"Nt","B","L"
"CN",   14.5, 886,"Nt","B","L"
"CN",  116.2,1844,"Nt","B","L"
"CO",  827.6,1225,"Nt","B","L"
"CO",  540.1, 267,"Nt","B","L"
"CC",   78.4, 833,"Nt","B","L"
"CO",  807.3,1173,"Nt","B","L"
"CC", 1179.0,2062,"Nt","B","L"
"NC", 1852.8,2088,"Nt","B","L"
"CC", 1266.1,1507,"Nt","B","L"
"CO",  310.7,1400,"Nt","B","L"
"NC",  644.7, 976,"Nt","B","L"
"CC",  752.1,1330,"Nt","B","L"
"CO",  450.1,1150,"Nt","B","L"
"CN",  116.2, 569,"Nt","B","L"
"CC",  717.3,1237,"Nt","B","L"
"NN", 1675.6,2195,"Nt","B","L"
"CN", 1675.6,2518,"Nt","B","L"
"CO",  862.5,1545,"Nt","B","L"
"CC",  548.9, 674,"Nt","B","L"
"OO",  307.8, 804,"Nt","B","L"
"NO",  101.6,1234,"Nt","B","L"
"CO",  267.2,1362,"Nt","B","L"
"CN", 1240.0,1591,"Nt","B","L"
"CC",  665.0, 619,"Nt","A","L'"
"CN",  229.4, 543,"Nt","B","L"
"CN",  958.3,1516,"Nt","B","L"
"CC",  145.2,1298,"Nt","B","L"
"CC",  798.6,1263,"Nt","B","L"
"CN",  528.5, 703,"Nt","B","L"
"CN",  223.6, 340,"Nt","C","LC"
"CN", 1141.3,1298,"Nt","C","LC"
"NN",  749.2, 909,"Nt","C","LC"
"CN",  371.7, 598,"Nt","C","LC"
"CN",   20.3,1417,"Nt","C","LC"
"CO",  122.0,1780,"Nt","C","LC"
"CN",  827.6,2158,"Nt","C","LC"
"CC", 1727.9,1902,"Nt","C","LC"
"CN", 1338.7,1513,"Nt","B","L"
"OO",  821.8,1307,"Nt","B","L"
"NN",  116.2,1284,"Nt","A","L'"
"OO",  485.0,2105,"Ce","B","L'"
"NO",  130.7,1133,"Nt","B","L"
"CC",  101.6, 174,"Nt","B","L"
"CN",   72.6, 253,"Nt","B","L"
"NN",   29.0, 790,"Nt","B","L"
"NO",  662.1,1542,"Nt","B","L"
"CN", 1635.0,1432,"Nt","B","L"
"CC", 1013.5,1838,"Nt","B","L"
"NN",  107.4,1016,"Nt","B","L"
"CN",   29.0,  44,"Nt","B","L"
"CC",  319.4, 929,"Nt","B","L"
"NN",  461.7,1092,"Nt","B","L"
"NO",   69.7, 424,"Nt","B","L"
"CO", 1039.6,1179,"Nt","B","L"
"CO", 1998.0,2137,"Nt","B","L"
"CN", 2009.6,2901,"CA","B","L"
"CN", 1048.3,2015,"CA","B","L"
"CC",  203.3,1632,"Nt","B","L"
"NN",  557.6, 662,"Nt","B","L"
"OO",  406.6, 415,"Nt","B","L"
"NO",  406.6,1374,"Nt","B","L"
"CO", 1060.0,1696,"Nt","B","L"
"CO",  473.4, 802,"Nt","A","L'"
"CN",  365.9, 802,"Nt","B","L"
"CC",  461.7,1060,"Nt","B","L"
"CC",  325.2,1391,"Nt","B","L"
"CO", 1155.8,1211,"Nt","B","L"
"CN",  392.0, 558,"Nt","C","LC"
"CN",  572.1, 758,"Nt","C","LC"
"CN", 1530.4,1612,"Nt","C","LC"
"CO",  885.7,1719,"Nt","C","LC"
"CN",   61.0,1557,"Nt","C","LC"
"CO",  183.0, 758,"Nt","C","LC"
"NN",  235.2, 822,"Nt","C","LC"
"NN", 1184.8,1777,"Nt","B","L"
"NN", 2143.2,2198,"Nt","C","LC"
"CO", 1274.9,1539,"Nt","B","L"
"CO",  493.7, 566,"Nt","B","L"
"CN",  455.9, 508,"Nt","A","L'"
"CC", 1544.9,1911,"Ce","B","L'"
"CO",  972.8,1196,"Ce","B","L'"
"CN",  871.2, 935,"Ce","B","L"
"CO",  136.5,1104,"Nt","B","L"
"CC",  778.3, 627,"Nt","B","L"
"NC",  830.5,1173,"Nt","B","L"
"CO",  888.6, 752,"Nt","B","L"
"NN", 1791.8, 476,"Nt","B","L"
"CC", 1463.6,1449,"Nt","B","L"
"CN", 1080.3,1406,"Nt","B","L"
"CC",  926.4, 990,"Nt","B","L"
"NO",  653.4,1345,"Nt","B","L"
"CC",  502.4,1658,"Nt","B","L"
"OC",  363.0,1397,"Nt","B","L"
"NN", 1335.8,1786,"Nt","B","L"
"CO", 2183.8,2526,"Nt","B","L"
"CN", 1632.0,2715,"CA","B","L"
"CC",  659.2,2878,"CA","B","L"
"CO",  293.3,1920,"CA","B","L"
"CN",  296.2,1086,"CA","B","L"
"CO",  290.4, 987,"CA","B","L"
"CO",  136.5,1658,"CA","B","L"
"CO",   87.1,1891,"Nt","B","L"
"CO",  345.6, 918,"Nt","A","L'"
"CN",  209.1, 319,"Nt","A","L'"
"CC",   69.7,  96,"Nt","A","L'"
"CC",  731.8, 923,"Nt","B","L"
"CN",   29.0, 195,"Nt","B","L"
"NN",  906.0, 990,"Nt","C","LC"
"CN", 1518.8,1588,"Nt","C","LC"
"CC",  546.0, 746,"Nt","C","LC"
"CC",  363.0, 833,"Nt","C","L'"
"CO",  464.6, 558,"Nt","C","LC"
"CN",  400.8, 717,"Nt","B","L"
"NN",  821.8, 842,"Nt","B","L"
"CC", 1237.1,1356,"Nt","B","L"
"CN",  996.1,1231,"Nt","B","L"
"CN",   34.8, 258,"Nt","B","L"
"CO",  787.0, 781,"Nt","A","L'"
"NO", 1135.5, 938,"Ce","B","L'"
"CO",  252.6, 854,"Ce","B","L"
"CO",  101.6, 200,"Ce","B","L"
"CN",  171.3,1066,"Ce","B","L"
"CO",  650.5, 380,"Ce","B","L"
"CO", 1623.3,1074,"Ce","B","L"
"CO", 1861.5, 903,"Ce","B","L"
"CO", 1948.6, 793,"Ce","B","L"
"CC", 1507.2,1583,"Ce","B","L"
"NO", 1359.1,2352,"Ce","B","L"
"CO", 1675.6,1963,"Ce","B","L"
"OO", 1257.4,1330,"Ce","B","L"
"OO",  299.1, 685,"Ce","B","L"
"CC",  665.0,1112,"Ce","B","L"
"NN", 1501.4,2085,"Ce","B","L"
"CN", 1211.0,1783,"Ce","B","L"
"CN", 1486.8,1742,"Ce","B","L"
"CN", 1248.7,2132,"CA","C","L'"
"CN",  993.2,2126,"CA","C","L'"
"NN",   20.3,2059,"CA","B","L"
"CC",  394.9,1365,"CA","B","L"
"CO",   40.7,1225,"Ce","B","L"
"CC",  877.0,1719,"Ce","B","L"
"CN",  624.4,1098,"Ce","B","L"
"CN",  145.2, 770,"Ce","A","L'"
"CC",  543.0, 944,"Ce","A","L'"
"CN",  334.0,1275,"Ce","A","L'"
"CN",  784.1,1133,"Nt","C","L'"
"CN",  188.8, 883,"Nt","C","L'"
"CN", 1161.6,1472,"Nt","C","L'"
"CN", 1173.2,1501,"Nt","C","L'"
"CN",  200.4, 529,"Nt","C","L'"
"CN",  737.6, 746,"Nt","B","L"
"CO",  403.7,1513,"Nt","B","L"
"NN",   55.2, 964,"Nt","B","L"
"CO",  104.5, 189,"Nt","B","L"
"CN",  583.7,1095,"Nt","B","L"
"CO",  604.0, 892,"Nt","B","L"
"CN",  209.1,1095,"Nt","A","L'"
"CO",  845.1, 915,"Ce","B","L'"
"ON",  412.4, 160,"Ce","B","L'"
"CC",   43.6, 871,"Ce","B","L"
"CC",  400.8, 354,"Ce","B","L"
"OO",  592.4, 732,"Ce","B","L"
"CC", 1286.5, 131,"Ce","B","L"
"CC", 2006.7, 842,"Ce","B","L"
"CC", 2503.2,1800,"Ce","B","L"
"NN", 1530.4,1751,"Ce","C","L'"
"CC",  601.1,2140,"Ce","B","L"
"NC",  400.8,2924,"Ce","B","L"
"CN",  717.3,2010,"Ce","B","L"
"CN",  949.6,1202,"Ce","B","L"
"CC",    0.0, 366,"Ce","B","L"
"CC",  964.1, 984,"Ce","B","L"
"CN",  900.2,1739,"Ce","B","L"
"CN",  252.6, 825,"Ce","B","L"
"CC",  528.5, 784,"Ce","B","L"
"CN",  856.7,1652,"CA","C","L'"
"NN",  743.4,1167,"CA","C","L'"
"CN",  217.8,1196,"CA","B","L"
"CC",  694.1, 711,"CA","B","L"
"CN",  261.4, 363,"Ce","C","L'"
"CC",  665.0,1336,"Ce","C","L'"
"CN",  238.1, 363,"Ce","C","L'"
"CC",   20.3, 770,"Ce","A","L'"
"CN",  723.1,1742,"Ce","B","L"
"CN",  101.6,1722,"Ce","A","L'"
"CC",  845.1, 857,"Ce","B","L"
"CC",  572.1, 232,"Ce","B","L"
"NN", 1396.8,1205,"Nt","B","L"
"CC", 1062.9, 915,"Nt","B","L"
"CO",  267.2, 781,"Nt","B","L"
"CO",  348.5,1452,"Nt","B","L"
"CN",  403.7,1266,"Nt","B","L"
"OC",  156.8, 293,"Nt","B","L"
"NC",  360.1, 714,"Nt","A","L'"
"CO",  711.5,1269,"Nt","A","L'"
"CO",   40.7, 296,"Nt","A","L'"
"CO",  752.1, 804,"Nt","A","L'"
"CC",  113.3, 276,"Ce","B","L'"
"CO",  197.5, 302,"Ce","B","L"
"CO",  441.4, 346,"Ce","B","L"
"CO", 1173.2, 650,"Ce","B","L"
"CO", 1565.3, 290,"Ce","B","L"
"CC",  673.7,3113,"Ce","C","L'"
"NN",  557.6,2593,"Ce","C","L'"
"CO",  238.1,1620,"Ce","B","L"
"CN",   98.7, 648,"Ce","B","L"
"CO",  304.9, 590,"Ce","B","L"
"NO",  667.9,1562,"Ce","C","L'"
"CN", 1022.2,1641,"Ce","C","L'"
"CC",  708.6, 682,"Ce","C","L'"
"CC",  432.7, 581,"Ce","C","L'"
"CO",  101.6,1153,"CA","C","L'"
"CO",  229.4, 456,"CA","C","L'"
"CC",  351.4, 529,"CA","C","L'"
"CN",  476.3,1089,"CA","C","L'"
"CO",  479.2, 950,"Ce","C","L'"
"CO",   87.1,1115,"Ce","B","L"
"CO",  705.7, 865,"Ce","B","L"
"CC",  943.8,1028,"Ce","B","L"
"CN", 1315.5,1530,"Ce","B","L"
"CC",  461.7, 836,"Ce","B","L"
"CC",  435.6, 621,"Ce","B","L"
"CN", 1408.4,1188,"Ce","B","L"
"CO", 1934.1,1243,"Ce","B","L"
"CN", 1617.5, 781,"Ce","B","L"
"NO", 1213.9, 447,"Nt","B","L"
"NN",  371.7, 497,"Nt","B","L"
"CC",  888.6, 584,"Nt","A","L'"
"CC",  258.5,1040,"Nt","A","L'"
"CC",  670.8,1208,"Nt","B","L"
"CO",  447.2,1452,"Nt","B","L"
"CO",  522.7,1225,"Nt","A","L'"
"CC", 1004.8,1420,"Ce","B","L'"
"CC",  345.6, 706,"Ce","B","L"
"CC",  374.6, 674,"Ce","B","L"
"CO",  705.7, 668,"Ce","B","L"
"CO", 1669.8,1170,"Ce","B","L"
"CC", 1530.4,2704,"Ce","C","L'"
"CC", 1211.0,1731,"Ce","C","L'"
"CO",  856.7, 828,"Ce","C","L'"
"CC",  522.7, 804,"Ce","C","L'"
"CC",  304.9,1673,"Ce","C","L'"
"CN",  877.0,2030,"Ce","C","L'"
"CN", 1681.4,1551,"Ce","C","L'"
"CN", 1405.5,1510,"Ce","C","L'"
"CO", 1071.6, 892,"Ce","C","L'"
"CC",  726.0, 212,"CA","C","L'"
"CC",  508.2,1167,"CA","C","L'"
"CO",  185.9, 947,"Ce","C","L'"
"CO",  755.0,1176,"CA","C","L'"
"NN",  345.6, 203,"CA","B","L"
"CO",  766.7, 828,"Ce","B","L"
"NO", 1725.0,1167,"Ce","B","L"
"CC", 1539.1,1211,"Ce","B","L"
"CO",  566.3, 238,"Ce","B","L"
"CO",  209.1, 607,"Ce","B","L"
"CC", 1181.9, 491,"Ce","B","L"
"CN", 1733.7, 883,"Ce","B","L"
"CN", 1344.6, 784,"Ce","B","L"
"NN", 1103.5, 656,"Nt","B","L"
"CN",  296.2,1516,"Nt","B","L"
"CO", 1065.8,1333,"Nt","B","L"
"CC",  554.7, 479,"Nt","B","L"
"NN",   58.1, 784,"Ce","B","L"
"CC",   69.7, 421,"Ce","B","L"
"CO",  644.7, 645,"Ce","B","L"
"CN", 1617.5,1609,"Ce","B","L"
"CC", 1481.0,1763,"Ce","C","L'"
"NN", 1263.2,2152,"Ce","C","L'"
"CO", 1553.6,2892,"Ce","C","L'"
"CO", 2218.7,2509,"Ce","C","L'"
"CC", 2363.9,2248,"Ce","C","L'"
"CO", 2029.9,1449,"Ce","C","L'"
"NN", 1684.3,1170,"Ce","C","L'"
"CO",  897.3, 941,"CA","C","L'"
"CC",   14.5,  55,"Ce","C","L'"
"CC",  888.6,1013,"CA","B","L"
"CO", 1242.9, 955,"CA","B","L"
"NN",  636.0, 468,"Ce","B","L"
"CO",  482.1, 926,"Ce","B","L"
"CC", 1254.5,2004,"Ce","B","L"
"CO", 1632.0,1403,"Ce","B","L"
"CO", 1513.0, 653,"Nt","B","L"
"CN", 1693.0, 982,"Nt","A","L'"
"CC",  853.8, 804,"Ce","B","L"
"CC", 1417.2,1536,"Ce","B","L"
"CO",  740.5,1374,"CA","C","L'"
"CO",  223.6,1019,"Ce","C","L'"
"CO",  580.8,1403,"Ce","B","L"
"CN", 1544.9,1554,"Ce","B","L"
"CC", 2227.4,2765,"Ce","B","L"
"CC", 2604.9,2010,"Ce","B","L"
"CC", 2485.8,1626,"Ce","B","L"
"CC",  232.3,1992,"Ce","C","L'"
"CO",  183.0,2375,"Ce","C","L'"
"CN",  853.8,2526,"Ce","B","L"
"OC", 3200.2,3372,"Ce","B","L"
"OO", 3577.7,2982,"Ce","B","L"
"OO", 3458.7,2599,"Ce","B","L"
"CO", 3638.7,2814,"CA","A","L'"
"CC", 4417.0,3557,"Ce","B","L"
"CO", 4597.0,3772,"Ce","B","L"
"OC",12127.1,4034,"Ci","A","LC"
"CC",12516.2,4423,"Ci","A","LC"
"NN",11636.3,3618,"Nt","A","LC"
"NO",11247.2,3229,"Ci","A","LC"
"CO",10858.1,2840,"Ci","A","LC"
"CO",10288.9,2271,"Ci","A","LC"
"CC",10585.1,2492,"Ci","A","LC"
"ON",10088.5,1493,"Ci","A","LC"
"NN", 9705.2,1946,"Ci","A","LC"
"CC", 9316.0,1507,"Ci","A","LC"
"CC", 8926.9, 909,"Ci","A","LC"
"CC", 9223.1,1130,"Ci","A","LC"
"NN", 9115.7, 598,"Ci","A","LC"
"CC", 8732.3,1557,"Ci","A","LC"
"CC", 8343.2,1234,"Ci","A","LC"
"CC", 7954.1, 261,"Ci","A","LC"
"CO", 9028.5,2759,"Ci","A","LC"
"CC", 8157.3, 810,"Ci","A","LC"
"OO", 7774.0,1673,"Ci","A","LC"
"CC", 7384.9,1618,"Ci","A","LC"
"CC", 6995.7,1185,"Ci","A","LC"
"CO", 7291.9,1406,"Ci","A","LC"
"CO", 7681.1,2169,"Ci","A","LC"
"CN", 7184.5,1783,"Ci","A","LC"
"CC", 6801.2,2166,"Ci","A","LC"
"NN", 6412.0,2547,"Ci","A","LC"
"NO", 6022.9,2158,"Ci","A","LC"
"OC", 6319.1,2378,"Ci","A","LC"
"NN", 5828.3,3139,"Nt","A","LC"
"CN", 5439.2,3520,"Ci","A","LC"
"CC", 5050.1,3131,"Ci","A","LC"
"NO", 5346.3,3351,"Ci","A","LC"
"CO", 6124.5,4129,"Ci","A","LC"
"CC", 5253.3,3714,"Nt","A","LC"
"NO", 4870.0,4098,"Nt","A","LC"
"CO", 4480.9,4478,"Nt","A","LC"
"NN", 4091.7,4089,"Ci","A","LC"
"CC", 4387.9,4310,"Ci","A","LC"
"CC", 4777.1,4699,"Ci","A","LC"
"CC", 5209.8,4704,"Nt","A","LC"
"CC", 4280.5,4687,"Nt","A","LC"
"NO", 3897.2,5070,"Nt","A","LC"
